Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin
2006nh,BAE SYSTEMS Granite State Regional,qm,1,1,1517,176,213,1073,134,1922,42,21,1458,1525,1503,1490,1481,1450,59.2%,1,5.3,21
2006nh,BAE SYSTEMS Granite State Regional,qm,1,2,1721,885,1307,238,133,1100,40,53,1450,1457,1467,1468,1404,1497,50.6%,0,0.3,-13
2006nh,BAE SYSTEMS Granite State Regional,qm,1,3,1153,131,125,1276,58,1350,0,44,1456,1543,1471,1458,1542,1528,41.7%,0,-4.8,-44
2006nh,BAE SYSTEMS Granite State Regional,qm,1,4,241,40,529,1058,151,836,22,30,1445,1592,1461,1426,1461,1477,68.5%,0,11.1,-8
2006nh,BAE SYSTEMS Granite State Regional,qm,1,5,97,663,1568,501,172,1547,43,65,1503,1428,1468,1573,1468,1436,38.8%,0,-6.5,-22
2006nh,BAE SYSTEMS Granite State Regional,qm,1,6,287,42,95,1519,155,1138,39,33,1482,1593,1540,1450,1450,1491,78.6%,1,18.5,6
2006nh,BAE SYSTEMS Granite State Regional,qm,1,7,175,1474,319,166,1512,350,15,2,1610,1395,1474,1533,1450,1446,57.4%,1,4.2,13
2006nh,BAE SYSTEMS Granite State Regional,qm,1,8,296,1824,549,190,1289,811,35,31,1523,1450,1530,1524,1464,1433,61.4%,1,6.6,4
2006nh,BAE SYSTEMS Granite State Regional,qm,1,9,562,1831,1247,138,134,1307,19,35,1517,1450,1412,1534,1472,1459,38.0%,0,-7.0,-16
2006nh,BAE SYSTEMS Granite State Regional,qm,1,10,131,151,97,1517,885,1153,28,2,1520,1472,1493,1467,1449,1433,68.7%,1,11.2,26
2006nh,BAE SYSTEMS Granite State Regional,qm,1,11,42,529,663,1922,133,58,47,43,1586,1449,1419,1441,1412,1565,55.2%,1,3.0,4
2006nh,BAE SYSTEMS Granite State Regional,qm,1,12,350,1519,40,1547,213,238,48,45,1441,1457,1581,1445,1512,1476,56.6%,1,3.8,3
2006nh,BAE SYSTEMS Granite State Regional,qm,1,13,549,175,95,125,836,501,32,33,1528,1616,1533,1448,1488,1582,71.4%,0,13.0,-1
2006nh,BAE SYSTEMS Granite State Regional,qm,1,14,296,1512,1831,287,176,1721,54,0,1521,1445,1445,1475,1534,1442,44.2%,1,-3.3,54
2006nh,BAE SYSTEMS Granite State Regional,qm,1,15,190,1474,1247,1276,241,1568,31,82,1526,1401,1407,1481,1434,1459,44.1%,0,-3.4,-51
2006nh,BAE SYSTEMS Granite State Regional,qm,1,16,1289,155,166,562,1073,1100,30,53,1466,1457,1527,1512,1481,1505,43.2%,0,-3.9,-23
2006nh,BAE SYSTEMS Granite State Regional,qm,1,17,1824,1350,1058,172,1138,319,8,27,1448,1551,1437,1477,1498,1479,47.4%,0,-1.5,-19
2006nh,BAE SYSTEMS Granite State Regional,qm,1,18,811,138,131,529,1547,175,50,24,1435,1539,1529,1450,1446,1607,49.9%,1,0.0,26
2006nh,BAE SYSTEMS Granite State Regional,qm,1,19,1307,176,42,549,151,350,30,49,1464,1501,1587,1520,1480,1440,65.4%,0,9.1,-19
2006nh,BAE SYSTEMS Granite State Regional,qm,1,20,1568,134,287,1153,133,40,30,49,1487,1477,1442,1424,1412,1581,48.5%,0,-0.9,-19
2006nh,BAE SYSTEMS Granite State Regional,qm,1,21,1289,1276,95,1512,97,1922,17,22,1454,1509,1525,1478,1502,1440,59.5%,0,5.5,-5
2006nh,BAE SYSTEMS Granite State Regional,qm,1,22,1824,1100,1247,1519,125,1517,36,36,1438,1516,1379,1457,1456,1459,44.5%,0.5,-3.1,0
2006nh,BAE SYSTEMS Granite State Regional,qm,1,23,319,562,296,241,663,238,64,19,1490,1523,1555,1462,1419,1476,77.0%,1,17.2,45
2006nh,BAE SYSTEMS Granite State Regional,qm,1,24,1058,166,501,1831,190,885,23,15,1427,1516,1590,1478,1498,1440,66.2%,1,9.6,8
2006nh,BAE SYSTEMS Granite State Regional,qm,1,25,1138,1073,58,811,836,1721,62,43,1508,1492,1564,1450,1496,1409,77.0%,1,17.2,19
2006nh,BAE SYSTEMS Granite State Regional,qm,1,26,172,213,1474,155,138,1350,35,39,1487,1512,1373,1446,1554,1541,27.5%,0,-13.8,-4
2006nh,BAE SYSTEMS Granite State Regional,qm,1,27,131,42,1568,1512,1824,1307,22,7,1544,1570,1477,1485,1440,1448,77.9%,1,17.9,15
2006nh,BAE SYSTEMS Granite State Regional,qm,1,28,40,562,175,1922,125,296,16,62,1591,1539,1592,1446,1454,1571,80.9%,0,20.6,-46
2006nh,BAE SYSTEMS Granite State Regional,qm,1,29,885,1547,241,176,95,166,19,13,1441,1431,1446,1484,1519,1515,24.0%,1,-16.4,6
