Key,Event,Match Type,Set Number,Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3,Red score,Blue score,Red 1 Elo,Red 2 Elo,Red 3 Elo,Blue 1 Elo,Blue 2 Elo,Blue 3 Elo,Red win likelihood,Red victory,Predicted red winning margin,Red winning margin,,,
2022flwp,South Florida Regional,qm,1,1,59,744,1523,2641,4707,8817,30,9,1614,1583,1538,1537,1442,1450,85.3%,1,27.0,21,,,
2022flwp,South Florida Regional,qm,1,2,5410,7652,3627,2183,8324,7442,20,12,1494,1442,1484,1498,1450,1465,51.1%,1,0.7,8,,,
2022flwp,South Florida Regional,qm,1,3,179,3164,21,6686,2168,7403,67,44,1682,1518,1530,1466,1733,1454,60.9%,1,6.8,23,,,
2022flwp,South Florida Regional,qm,1,4,4206,4481,5472,108,4592,5842,70,19,1503,1621,1549,1537,1522,1511,64.3%,1,9.1,51,,,
2022flwp,South Florida Regional,qm,1,5,8754,7833,2190,348,3932,4471,17,19,1450,1446,1474,1522,1545,1485,26.0%,0,-16.1,-2,,,
2022flwp,South Florida Regional,qm,1,6,1523,1744,1592,2383,7403,2183,14,37,1534,1573,1520,1622,1445,1494,59.4%,0,5.9,-23,,,
2022flwp,South Florida Regional,qm,1,7,5842,4707,8324,2641,4206,3164,4,47,1488,1446,1446,1540,1525,1527,22.7%,0,-18.8,-43,,,
2022flwp,South Florida Regional,qm,1,8,4481,4592,7652,6686,59,2190,35,22,1643,1499,1446,1457,1611,1482,55.5%,1,3.4,13,,,
2022flwp,South Florida Regional,qm,1,9,5472,21,7442,3932,1592,8754,30,24,1572,1538,1461,1537,1504,1458,60.1%,1,6.3,6,,,
2022flwp,South Florida Regional,qm,1,10,108,2383,2168,7833,5410,4471,65,2,1514,1638,1724,1453,1498,1478,92.9%,1,39.5,63,,,
2022flwp,South Florida Regional,qm,1,11,744,1744,3627,8817,348,179,23,53,1580,1557,1488,1453,1514,1691,45.2%,0,-3.0,-30,,,
2022flwp,South Florida Regional,qm,1,12,6686,8754,4481,8324,1523,2641,36,21,1452,1458,1649,1433,1519,1553,57.7%,1,4.8,15,,,
2022flwp,South Florida Regional,qm,1,13,21,4592,2190,2383,3164,5410,30,33,1538,1504,1477,1650,1540,1485,28.8%,0,-13.9,-3,,,
2022flwp,South Florida Regional,qm,1,14,2168,1744,348,59,4471,7442,40,7,1737,1543,1529,1606,1465,1460,83.1%,1,24.5,33,,,
2022flwp,South Florida Regional,qm,1,15,8817,5472,2183,3932,108,7652,48,47,1468,1571,1509,1538,1527,1451,54.7%,1,2.9,1,,,
2022flwp,South Florida Regional,qm,1,16,7833,7403,4707,3627,179,4206,4,50,1441,1461,1432,1473,1706,1539,9.9%,0,-33.9,-46,,,
2022flwp,South Florida Regional,qm,1,17,744,2383,1592,4481,3164,5842,36,45,1565,1645,1505,1654,1534,1475,57.2%,0,4.5,-9,,,
2022flwp,South Florida Regional,qm,1,18,4592,7442,2641,1744,2183,7652,13,22,1510,1456,1548,1547,1508,1452,50.8%,0,0.5,-9,,,
2022flwp,South Florida Regional,qm,1,19,1523,108,8754,2168,7833,4206,27,75,1513,1528,1463,1742,1434,1545,22.3%,0,-19.1,-48,,,
2022flwp,South Florida Regional,qm,1,20,5410,59,5842,3627,6686,4707,12,9,1479,1601,1483,1479,1458,1426,76.0%,1,17.7,3,,,
2022flwp,South Florida Regional,qm,1,21,179,4471,5472,744,8817,21,69,32,1712,1460,1570,1558,1467,1544,73.2%,1,15.4,37,,,
