key,year,name,time,state,country,district,type,week,status,current_match,qual_matches,elo_max,elo_top8,elo_top24,elo_mean,elo_sd,opr_max,opr_top8,opr_top24,opr_mean,opr_sd,elo_acc,elo_mse,opr_acc,opr_mse,mix_acc,mix_mse,rp1_acc,rp1_mse,rp2_acc,rp2_mse
2002ca,2002,Southern California Regional,1017892800,CA,USA,NULL,0,5,Completed,119,105,1540,1504,1452,1450,40.64,22.13,18.47,15.94,14.45,3.73,0.521,0.2456,0.5042,0.2545,0.5126,0.2449,NULL,NULL,NULL,NULL
2002cmp,2002,Einstein Field,1019880000,FL,USA,NULL,4,8,Completed,7,0,1647,1552,1446,1497,63.05,18.6,14.22,NULL,14.79,1.33,0.8571,0.1466,0.2857,0.3205,0.8571,0.2072,NULL,NULL,NULL,NULL
2002ct,2002,UTC New England Regional,1017892800,CT,USA,NULL,0,5,Completed,144,126,1574,1534,1490,1457,68.43,28.58,24.67,18.65,16.55,6.7,0.6528,0.2191,0.625,0.2419,0.6528,0.2235,NULL,NULL,NULL,NULL
2002fl,2002,NASA KSC Southeast Regional,1015477200,FL,USA,NULL,0,1,Completed,123,106,1556,1504,1450,1450,52.97,26.87,19.75,15.22,15.07,5.09,0.5935,0.2255,0.5528,0.2419,0.5528,0.2294,NULL,NULL,NULL,NULL
2002gl,2002,Great Lakes Regional,1016683200,MI,USA,NULL,0,3,Completed,125,109,1612,1513,1462,1451,54.19,30.41,22.73,17.1,15.28,6.14,0.6,0.2345,0.56,0.267,0.56,0.2433,NULL,NULL,NULL,NULL
2002il,2002,Motorola Midwest Regional,1017288000,IL,USA,NULL,0,4,Completed,121,106,1592,1499,1449,1445,53.44,24.04,19.37,14.64,15.14,4.4,0.6116,0.2338,0.5372,0.2538,0.562,0.2376,NULL,NULL,NULL,NULL
2002li,2002,SBPLI Long Island Regional,1016078400,NY,USA,NULL,0,2,Completed,114,98,1576,1493,1427,1450,48.82,25.54,18.14,13.54,14.66,3.71,0.5351,0.2448,0.5702,0.2691,0.5351,0.249,NULL,NULL,NULL,NULL
2002mi,2002,Western Michigan Regional,1017892800,MI,USA,NULL,0,5,Completed,115,99,1568,1513,1447,1449,61.21,28.05,21.08,14.75,16.62,4.43,0.5043,0.2479,0.5043,0.2661,0.4609,0.2492,NULL,NULL,NULL,NULL
2002mo,2002,St. Louis Regional,1017892800,MO,USA,NULL,0,5,Completed,120,106,1551,1510,1461,1453,48.87,26.77,19.35,15.85,14.99,4.63,0.6,0.233,0.5417,0.2581,0.5667,0.2382,NULL,NULL,NULL,NULL
2002new,2002,Newton Division,1019707200,FL,USA,NULL,3,8,Completed,145,128,1629,1549,1481,1462,62.43,37.57,22.89,18.58,16.54,5.53,0.5379,0.2309,0.5448,0.2694,0.5517,0.2405,NULL,NULL,NULL,NULL
