team,name,state,country,district,active,elo,elo_recent,elo_mean,elo_max,wins,losses,ties,count,winrate
1,The Juggernauts,MI,USA,fim,1,1559.6552000000001,1584.2,1598.67,1719.11,283,301,23,607,0.4852
4,Team 4 ELEMENT,CA,USA,None,1,1606.61,1565.17,1515.47,1606.61,152,187,13,352,0.4503
5,Robocards,MI,USA,None,0,NULL,NULL,1530.88,1623.3,65,69,5,139,0.4856
6,The CogSquad,MN,USA,None,0,NULL,NULL,1478.16,1506.51,9,10,1,20,0.475
7,Team007,MD,USA,None,0,NULL,NULL,1512.88,1602.74,66,50,9,125,0.564
8,Paly Robotics,CA,USA,None,1,1726.19,1634.74,1555.19,1726.19,238,242,9,489,0.4959
9,Roosevelt RoboRiders,IL,USA,None,0,NULL,NULL,1566.4,1620.7,59,55,4,118,0.5169
10,Red Knights,MN,USA,None,0,NULL,NULL,1496.5,1496.5,4,5,0,9,0.4444
11,MORT,NJ,USA,fma,1,1604.1448,1662,1654.74,1820.45,502,390,13,905,0.5619
16,Bomb Squad,AR,USA,None,1,1810.34,1808.15,1765.78,1901.29,561,208,10,779,0.7266
19,Big Red,CT,USA,None,0,NULL,NULL,1450.27,1464.64,19,32,1,52,0.375
20,The Rocketeers,NY,USA,None,1,1719.7864000000002,1745.83,1681.48,1813.42,378,215,7,600,0.6358
21,ComBBAT,FL,USA,None,1,1558.0808,1576.41,1547.64,1618.91,157,183,8,348,0.4626
22,Double Deuce,CA,USA,None,0,NULL,NULL,1580.12,1631.76,60,47,1,108,0.5602
23,PNTA Pilgrim Nuclear Technology Alliance,MA,USA,ne,1,1517.73,1581.72,1529.98,1634.47,50,46,1,97,0.5206
25,Raider Robotix,NJ,USA,fma,1,1729.8904000000002,1801.77,1805.77,2045.98,639,276,12,927,0.6958
27,Team RUSH,MI,USA,fim,1,1792.82,1797.52,1769.26,1967.21,733,364,11,1108,0.6665
28,Pierson Whalers,NY,USA,None,1,1494.268,1507.99,1542.18,1639.17,131,118,5,254,0.5256
30,FURY,NJ,USA,None,0,NULL,NULL,1569.74,1607.76,37,29,2,68,0.5588
31,Prime Movers,OK,USA,None,1,1516.5784,1505.5,1474.96,1549.51,96,116,2,214,0.4533
33,Killer Bees,MI,USA,fim,1,1756.7,1828.26,1807.31,1970.73,827,330,13,1170,0.7124
34,Rockets,AL,USA,None,1,1532.352,1544.64,1569.57,1669.59,238,196,12,446,0.5471
35,Sigma Squared,MI,USA,None,0,NULL,NULL,1556.76,1584.53,22,23,1,46,0.4891
38,Nonnebots,CT,USA,None,0,NULL,NULL,1554.98,1689.92,39,32,1,72,0.5486
39,The 39th Aero Squadron,AZ,USA,None,0,NULL,NULL,1684.28,1795.83,99,43,7,149,0.6879
40,Checkmate,NH,USA,None,0,NULL,NULL,1611.25,1789.96,180,113,7,300,0.6117
41,RoboWarriors,NJ,USA,fma,1,1605.5744,1621.79,1521.76,1699.16,217,248,12,477,0.4675
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),NH,USA,None,0,NULL,NULL,1556.33,1654.84,45,42,3,90,0.5167
45,TechnoKats Robotics Team,IN,USA,fin,1,1562.4080000000001,1568.31,1635.55,1800.88,367,303,15,685,0.5467
46,Category5,All,NULL,None,0,NULL,NULL,1419.37,1419.37,0,1,0,1,0
47,Chief Delphi,MI,USA,fim,0,NULL,NULL,1687.58,1739.35,178,141,4,323,0.5573
48,Team E.L.I.T.E.,OH,USA,None,1,1602.4936,1659.48,1678.22,1803.86,526,334,16,876,0.6096
