key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2002ca,2002,Southern California Regional,1017896400,CA,USA,NULL,2002-04-04,2002-04-06,0,5,f,NULL,Completed,119,105,17.79,15.7,12.3,11.97,2.61,0.521,0.2429,NULL,NULL,NULL,NULL
2002cmp,2002,Einstein Field,1019880000,FL,USA,NULL,2002-04-27,2002-04-27,4,8,f,NULL,Completed,7,0,23.89,15.92,NULL,17.51,3.41,0.7143,0.167,NULL,NULL,NULL,NULL
2002ct,2002,UTC New England Regional,1017896400,CT,USA,NULL,2002-04-04,2002-04-06,0,5,f,NULL,Completed,144,126,20.15,17.55,14.07,12.41,4.43,0.6389,0.2176,NULL,NULL,NULL,NULL
2002fl,2002,NASA KSC Southeast Regional,1015477200,FL,USA,NULL,2002-03-07,2002-03-09,0,1,f,NULL,Completed,123,106,18.35,15.58,12.42,11.96,3.42,0.5772,0.2279,NULL,NULL,NULL,NULL
2002gl,2002,Great Lakes Regional,1016686800,MI,USA,NULL,2002-03-21,2002-03-23,0,3,f,NULL,Completed,125,109,22,15.96,12.78,12.02,3.49,0.608,0.2337,NULL,NULL,NULL,NULL
2002il,2002,Motorola Midwest Regional,1017291600,IL,USA,NULL,2002-03-28,2002-03-30,0,4,f,NULL,Completed,121,106,21.13,15.32,11.9,11.62,3.52,0.6364,0.2339,NULL,NULL,NULL,NULL
2002li,2002,SBPLI Long Island Regional,1016082000,NY,USA,NULL,2002-03-14,2002-03-16,0,2,f,NULL,Completed,114,98,19.99,14.83,10.56,11.96,3.13,0.5263,0.2413,NULL,NULL,NULL,NULL
2002mi,2002,Western Michigan Regional,1017896400,MI,USA,NULL,2002-04-04,2002-04-06,0,5,f,NULL,Completed,115,99,19.45,15.94,11.53,11.91,3.88,0.5043,0.2448,NULL,NULL,NULL,NULL
2002mo,2002,St. Louis Regional,1017896400,MO,USA,NULL,2002-04-04,2002-04-06,0,5,f,NULL,Completed,120,106,18.85,15.99,12.47,12.16,3.23,0.55,0.2361,NULL,NULL,NULL,NULL
2002new,2002,Newton Division,1019707200,FL,USA,NULL,2002-04-25,2002-04-27,3,8,f,NULL,Completed,145,128,22.7,18.02,14.22,12.68,3.78,0.5448,0.2316,NULL,NULL,NULL,NULL
2002nj,2002,J&J Mid Atlantic Regional,1016686800,NJ,USA,NULL,2002-03-21,2002-03-23,0,3,f,NULL,Completed,106,91,19.42,14.46,9.19,11.65,3.16,0.6038,0.217,NULL,NULL,NULL,NULL
2002ny,2002,New York City Regional,1016686800,NY,USA,NULL,2002-03-21,2002-03-23,0,3,f,NULL,Completed,113,95,20.91,15.61,10.82,12.19,4.36,0.5841,0.2316,NULL,NULL,NULL,NULL
2002oh,2002,Buckeye Regional,1016082000,OH,USA,NULL,2002-03-14,2002-03-16,0,2,f,NULL,Completed,116,100,19.22,14.73,12.73,12,2.78,0.5,0.2384,NULL,NULL,NULL,NULL
2002on,2002,Canadian Regional,1017896400,ON,Canada,NULL,2002-04-04,2002-04-06,0,5,f,NULL,Completed,117,99,18.07,14.83,11.2,11.43,3.1,0.5214,0.2393,NULL,NULL,NULL,NULL
2002pa,2002,Philadelphia Alliance Regional,1016686800,PA,USA,NULL,2002-03-21,2002-03-23,0,3,f,NULL,Completed,130,113,17.92,15.55,12.15,11.98,3.26,0.6385,0.2271,NULL,NULL,NULL,NULL
2002sj,2002,Silicon Valley Regional,1017291600,CA,USA,NULL,2002-03-28,2002-03-30,0,4,f,NULL,Completed,128,111,17.55,14.63,11.96,11.81,2.77,0.5156,0.2493,NULL,NULL,NULL,NULL
2002tx,2002,Lone Star Regional,1016082000,TX,USA,NULL,2002-03-14,2002-03-16,0,2,f,NULL,Completed,111,97,19.38,14.85,11.22,11.99,2.96,0.5946,0.2343,NULL,NULL,NULL,NULL
2002va,2002,NASA Langley / VCU Regional,1015477200,VA,USA,NULL,2002-03-07,2002-03-09,0,1,f,NULL,Completed,132,132,19.48,15.25,12.82,11.96,2.77,0.5,0.2402,NULL,NULL,NULL,NULL
2002wa,2002,Pacific Northwest Regional,1017291600,WA,USA,NULL,2002-03-28,2002-03-30,0,4,f,NULL,Completed,111,94,17.65,14.26,10.54,11.96,3,0.4865,0.2543,NULL,NULL,NULL,NULL
2003arc,2003,Archimedes Division,1049947200,TX,USA,NULL,2003-04-10,2003-04-12,3,8,f,NULL,Completed,142,128,53.85,43.74,33.91,26.36,12.77,0.5775,0.2443,NULL,NULL,NULL,NULL
2003az,2003,Arizona Regional,1047531600,AZ,USA,NULL,2003-03-13,2003-03-15,0,2,f,NULL,Completed,116,102,45.64,32.52,16.27,21.65,12.21,0.6552,0.223,NULL,NULL,NULL,NULL
2003ca,2003,Southern California Regional,1049346000,CA,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,116,102,62.23,35.19,20.86,19.95,13.6,0.6552,0.2144,NULL,NULL,NULL,NULL
2003cmp,2003,Einstein Field,1050120000,TX,USA,NULL,2003-04-12,2003-04-12,4,8,f,NULL,Completed,6,0,57.4,40.79,NULL,43.62,8.99,0.8333,0.1714,NULL,NULL,NULL,NULL
2003ct,2003,UTC New England Regional,1047531600,CT,USA,NULL,2003-03-13,2003-03-15,0,2,f,NULL,Completed,109,95,50.4,32.96,19.23,22.11,12.62,0.6422,0.2239,NULL,NULL,NULL,NULL
2003cur,2003,Curie Division,1049947200,TX,USA,NULL,2003-04-10,2003-04-12,3,8,f,NULL,Completed,140,126,63.02,48.14,34.14,27.87,14.67,0.6857,0.1874,NULL,NULL,NULL,NULL
2003fl,2003,Central Florida Regional,1048136400,FL,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,117,103,48.05,39.57,17.48,22.9,14.29,0.5812,0.2348,NULL,NULL,NULL,NULL
2003ga,2003,Peachtree Regional,1048741200,GA,USA,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,109,95,47.99,31.75,17.39,20.12,12.43,0.633,0.2099,NULL,NULL,NULL,NULL
2003gal,2003,Galileo Division,1049947200,TX,USA,NULL,2003-04-10,2003-04-12,3,8,f,NULL,Completed,142,128,43.39,38.14,28.05,24.13,9.85,0.5423,0.2454,NULL,NULL,NULL,NULL
2003gl,2003,Great Lakes Regional,1048136400,MI,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,116,102,54.78,36.64,26.71,21.54,11.81,0.6552,0.2288,NULL,NULL,NULL,NULL
2003il,2003,Midwest Regional,1048741200,IL,USA,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,120,106,50.11,33.91,21.54,21.38,11.37,0.65,0.2209,NULL,NULL,NULL,NULL
2003li,2003,SBPLI Long Island Regional,1048136400,NY,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,97,83,59.21,35.57,11.04,23.6,15.34,0.7113,0.203,NULL,NULL,NULL,NULL
2003md,2003,Chesapeake Regional,1047531600,MD,USA,NULL,2003-03-13,2003-03-15,0,2,f,NULL,Completed,111,97,42.19,33.25,27.03,21.37,12.06,0.5856,0.2412,NULL,NULL,NULL,NULL
2003mi,2003,West Michigan Regional,1049346000,MI,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,114,102,51.21,34.65,19.89,21.44,12.61,0.6228,0.2217,NULL,NULL,NULL,NULL
2003mo,2003,St. Louis Regional,1046926800,MO,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,124,110,42.29,32.81,21.48,19.94,9.83,0.7016,0.211,NULL,NULL,NULL,NULL
2003new,2003,Newton Division,1049947200,TX,USA,NULL,2003-04-10,2003-04-12,3,8,f,NULL,Completed,142,128,57.85,43.01,30.5,25.35,13.02,0.6479,0.1994,NULL,NULL,NULL,NULL
