team,name,offseason,state,country,district,rookie_year,active,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate
1,The Juggernauts,false,MI,USA,fim,1997,true,1571,1560,1547,1640,324,337,23,684,0.4905,327,342,23,692,0.4892
4,Team 4 ELEMENT,false,CA,USA,NULL,1997,true,1568,1561,1512,1586,177,216,14,407,0.4521,227,281,17,525,0.4486
5,Robocards,false,MI,USA,NULL,1998,false,1428,1428,1466,1590,66,71,5,142,0.4824,70,81,5,156,0.4647
6,The CogSquad,false,MN,USA,NULL,1994,false,1468,NULL,1480,1492,9,10,1,20,0.475,9,10,1,20,0.475
7,Team007,false,MD,USA,NULL,1997,false,1420,NULL,1501,1610,60,49,9,118,0.5466,60,49,9,118,0.5466
8,Paly Robotics,false,CA,USA,NULL,1996,true,1648,1654,1533,1776,265,261,9,535,0.5037,343,339,13,695,0.5029
9,Roosevelt RoboRiders,false,IL,USA,NULL,1998,false,1632,NULL,1565,1632,59,57,4,120,0.5083,59,57,4,120,0.5083
10,Red Knights,false,MN,USA,NULL,1998,false,1495,NULL,1495,1495,4,5,0,9,0.4444,4,5,0,9,0.4444
11,MORT,false,NJ,USA,fma,1997,true,1581,1546,1596,1772,573,431,15,1019,0.5697,629,492,16,1137,0.5602
16,Bomb Squad,false,AR,USA,NULL,1996,true,1754,1758,1725,1865,608,221,8,837,0.7312,706,276,10,992,0.7167
18,Team 18,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
19,Big Red,false,CT,USA,NULL,1992,false,1388,NULL,1427,1475,22,35,1,58,0.3879,22,35,1,58,0.3879
20,The Rocketeers,false,NY,USA,NULL,1992,true,1669,1716,1650,1827,407,228,7,642,0.6394,485,316,8,809,0.6044
21,ComBBAT,false,FL,USA,NULL,1998,true,1493,1525,1522,1628,173,215,10,398,0.4472,177,221,10,408,0.4461
22,Double Deuce,false,CA,USA,NULL,1997,false,1526,NULL,1573,1641,66,53,1,120,0.5542,66,53,1,120,0.5542
23,PNTA Pilgrim Nuclear Technology Alliance,false,MA,USA,ne,1995,false,1422,1518,1513,1585,50,46,1,97,0.5206,52,52,1,105,0.5
25,Raider Robotix,false,NJ,USA,fma,1997,true,1560,1652,1728,2066,686,310,14,1010,0.6861,718,339,16,1073,0.6766
27,Team RUSH,false,MI,USA,fim,1997,true,1890,1773,1741,1962,851,395,15,1261,0.6808,985,483,16,1484,0.6691
28,Pierson Whalers,false,NY,USA,NULL,1996,true,1498,1489,1536,1685,146,136,6,288,0.5174,146,136,6,288,0.5174
30,FURY,false,NJ,USA,NULL,1998,false,1522,NULL,1554,1589,37,31,2,70,0.5429,37,31,2,70,0.5429
