key,year,name,time,country,state,district,start_date,end_date,type,week,offseason,video,status,num_teams,current_match,qual_matches,epa_max,epa_top_8,epa_top_24,epa_mean,epa_sd,count,epa_conf,epa_acc,epa_mse,epa_score_rmse,epa_score_mae,epa_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1
2002arc,2002,Archimedes Division,1019707200,USA,FL,NULL,2002-04-25,2002-04-27,champs_div,8,f,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002ca,2002,Southern California Regional,1017896400,USA,CA,NULL,2002-04-04,2002-04-06,regional,5,f,NULL,Completed,60,119,105,19.16,14.92,12.01,11.84,2.33,119,0.6205,0.5126,0.2564,12.1398,9.8932,-4.49,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002cmp,2002,Einstein Field,1019880000,USA,FL,NULL,2002-04-27,2002-04-27,einstein,8,f,NULL,Completed,12,7,0,20.22,13.96,NULL,15.76,2.91,7,0.674,0.8571,0.1771,19.2513,15.6764,-1.2349,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002ct,2002,UTC New England Regional,1017896400,USA,CT,NULL,2002-04-04,2002-04-06,regional,5,f,NULL,Completed,63,144,126,19.84,16.26,13.38,12.11,3.5,144,0.64,0.6597,0.2192,15.6543,12.617,-7.8177,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002cur,2002,Curie Division,1019707200,USA,FL,NULL,2002-04-25,2002-04-27,champs_div,8,f,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002fl,2002,NASA KSC Southeast Regional,1015477200,USA,FL,NULL,2002-03-07,2002-03-09,regional,1,f,NULL,Completed,47,123,106,18,14.83,11.98,11.96,2.99,123,0.6103,0.561,0.234,13.9604,11.5749,-5.2214,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002gal,2002,Galileo Division,1019707200,USA,FL,NULL,2002-04-25,2002-04-27,champs_div,8,f,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002gl,2002,Great Lakes Regional,1016686800,USA,MI,NULL,2002-03-21,2002-03-23,regional,3,f,NULL,Completed,62,125,109,19.88,15.52,12.57,11.97,3.08,125,0.6455,0.576,0.2356,14.3841,11.6866,-4.3857,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002il,2002,Motorola Midwest Regional,1017291600,USA,IL,NULL,2002-03-28,2002-03-30,regional,4,f,NULL,Completed,47,121,106,17.62,14.58,11.54,11.58,2.82,121,0.6177,0.595,0.2417,13.402,11.0547,-5.8042,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002li,2002,SBPLI Long Island Regional,1016082000,USA,NY,NULL,2002-03-14,2002-03-16,regional,2,f,NULL,Completed,39,114,98,16.24,14.13,10.93,11.9,2.44,114,0.6121,0.5439,0.2519,12.5354,10.0132,-4.7138,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
