team,name,country,state,rookie_year,offseason,district,active,primary_color,secondary_color,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max
0,0,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1426,NULL,1426,1426
1,The Juggernauts,USA,MI,1997,f,fim,t,#000000,#fff200,295,306,19,620,0.4911,298,311,19,628,0.4896,1560,1556,1560,1686
10,Red Knights,USA,MN,1998,f,NULL,f,NULL,NULL,4,5,0,9,0.4444,4,5,0,9,0.4444,1488,NULL,1488,1488
100,The Wildhats,USA,CA,1995,f,NULL,t,#ff6600,#000000,272,255,8,535,0.5159,356,326,9,691,0.5217,1559,1544,1561,1819
1000,Cybearcats,USA,IN,2003,f,NULL,f,NULL,NULL,90,91,8,189,0.4974,93,96,8,197,0.4924,1512,NULL,1525,1600
10000,10000,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1426,NULL,1426,1426
1001,Hacksaw,USA,OH,2003,f,NULL,f,NULL,NULL,43,63,4,110,0.4091,43,63,4,110,0.4091,1563,NULL,1537,1595
1002,CircuitRunners Robotics,USA,GA,2003,f,pch,t,NULL,NULL,222,214,14,450,0.5089,245,236,15,496,0.5091,1434,1430,1499,1623
1005,Chaminade Robotics,USA,MO,2003,f,NULL,f,NULL,NULL,11,13,0,24,0.4583,11,13,0,24,0.4583,1469,NULL,1467,1469
1006,Fast Eddie Robotics,Canada,ON,2003,f,NULL,f,NULL,NULL,100,96,4,200,0.51,100,96,4,200,0.51,1455,NULL,1576,1681
1007,The Tyrants,USA,GA,2003,f,NULL,f,NULL,NULL,15,27,2,44,0.3636,15,27,2,44,0.3636,1455,NULL,1463,1514
1008,Team Lugnut,USA,OH,2003,f,NULL,f,NULL,NULL,50,49,3,102,0.5049,57,67,3,127,0.4606,1529,NULL,1518,1544
1009,Bolt Action,Canada,ON,2003,f,NULL,f,NULL,NULL,20,28,4,52,0.4231,20,28,4,52,0.4231,1416,NULL,1455,1544
100B,100B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,5,5,0,10,0.5,1438,1438,1438,1438
101,Striker,USA,IL,1997,f,NULL,f,#106951,#b4995b,94,111,13,218,0.461,96,122,14,232,0.444,1389,1432,1499,1577
1010,B.C. Hawks,USA,MI,2003,f,NULL,f,NULL,NULL,28,31,1,60,0.475,28,31,1,60,0.475,1534,NULL,1520,1534
1011,CRUSH,USA,AZ,2003,f,NULL,t,#fca40a,#022567,218,206,10,434,0.5138,234,217,11,462,0.5184,1418,1426,1516,1693
1013,The Phoenix,USA,AZ,2003,f,NULL,f,NULL,NULL,90,97,10,197,0.4822,90,97,10,197,0.4822,1439,NULL,1479,1578
1014,Bad Robots,USA,OH,2003,f,NULL,t,#bdbd00,#050500,152,166,3,321,0.4782,165,182,3,350,0.4757,1416,1427,1519,1621
1015,Pi Hi Samurai,USA,MI,2003,f,NULL,f,NULL,NULL,35,45,1,81,0.4383,35,45,1,81,0.4383,1497,NULL,1504,1548
1016,Evolution,USA,SC,2003,f,NULL,f,NULL,NULL,4,12,1,17,0.2647,4,12,1,17,0.2647,1366,NULL,1404,1441
1017,Home Advantage,USA,MI,2003,f,NULL,f,NULL,NULL,6,8,0,14,0.4286,6,8,0,14,0.4286,1455,NULL,1508,1561
1018,Pike RoboDevils,USA,IN,2003,f,fin,t,#f9153b,#010208,269,260,14,543,0.5083,305,306,15,626,0.4992,1570,1560,1574,1797
1019,Sons Of The Beach,USA,NY,2003,f,NULL,f,NULL,NULL,13,23,0,36,0.3611,13,23,0,36,0.3611,1549,NULL,1481,1549
102,The Gearheads,USA,NJ,1998,f,fma,t,#f47100,#080808,331,305,9,645,0.5202,352,349,9,710,0.5021,1574,1565,1562,1712
1020,The Prank Monkeys,USA,IN,2003,f,NULL,f,NULL,NULL,3,10,1,14,0.25,3,10,1,14,0.25,1457,NULL,1421,1457
1022,Archer GEeks,USA,IN,2003,f,NULL,f,NULL,NULL,10,12,1,23,0.4565,10,12,1,23,0.4565,1577,NULL,1544,1577
1023,Bedford Express,USA,MI,2003,f,fim,t,#ffde16,#302a04,567,334,10,911,0.6279,660,415,14,1089,0.6125,1678,1715,1668,1958
1023B,1023B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,8,7,0,15,0.5333,1423,NULL,1423,1423
1024,Kil-A-Bytes,USA,IN,2003,f,fin,t,#ffff01,#0901f6,474,291,8,773,0.6184,544,382,8,934,0.5867,1636,1640,1636,1847
1025,Impi Robotics,USA,MI,2003,f,fim,t,#0000ff,#00ff00,318,242,10,570,0.5667,318,242,10,570,0.5667,1602,1593,1601,1705
1026,Cougars,USA,SC,2003,f,NULL,f,NULL,NULL,42,53,2,97,0.4433,42,53,2,97,0.4433,1479,NULL,1507,1572
1027,Mechatronic Maniacs,USA,MA,2003,f,ne,t,NULL,NULL,180,219,8,407,0.4521,201,239,11,451,0.4579,1481,1474,1493,1604
1028,UBERGEEKS,USA,AL,2003,f,NULL,f,NULL,NULL,13,30,1,44,0.3068,13,30,1,44,0.3068,1438,NULL,1454,1481
1029,Wolverine Robotics,USA,FL,2003,f,NULL,f,NULL,NULL,44,58,3,105,0.4333,44,58,3,105,0.4333,1396,NULL,1496,1587
102B,102B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,2,3,0,5,0.4,1423,NULL,1423,1423
103,Cybersonics,USA,PA,1997,f,fma,t,#000041,#ff100f,562,338,20,920,0.6217,589,362,20,971,0.6169,1725,1680,1668,1850
1030,Combined Minds,USA,OH,2003,f,NULL,f,NULL,NULL,13,19,0,32,0.4063,13,19,0,32,0.4063,1627,NULL,1512,1627
1031,The Boilermakers,USA,CA,2003,f,NULL,f,NULL,NULL,39,36,1,76,0.5197,39,36,1,76,0.5197,1571,NULL,1564,1620
1033,Team CLUTCH,USA,VA,2003,f,NULL,f,NULL,NULL,53,77,10,140,0.4143,53,77,10,140,0.4143,1514,NULL,1469,1570
1034,Eclipse,USA,IL,2003,f,NULL,f,NULL,NULL,9,25,0,34,0.2647,9,25,0,34,0.2647,1384,NULL,1373,1402
1035,T12,USA,IL,2003,f,NULL,f,NULL,NULL,10,21,0,31,0.3226,10,21,0,31,0.3226,1409,NULL,1406,1409
1036,Central Tech Robotics,Canada,ON,2003,f,NULL,f,NULL,NULL,8,8,1,17,0.5,8,8,1,17,0.5,1415,NULL,1483,1550
1037,The SCREAM Team,USA,MI,2003,f,NULL,f,NULL,NULL,17,18,3,38,0.4868,17,18,3,38,0.4868,1531,NULL,1520,1531
1038,Lakota Robotics,USA,OH,2003,f,NULL,t,#eceded,#a585b8,256,215,17,488,0.542,313,281,20,614,0.5261,1581,1532,1574,1731
1038B,1038B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,1426,NULL,1426,1426
1039,Chief Sealth Robotics,USA,WA,2003,f,NULL,f,NULL,NULL,14,17,1,32,0.4531,14,17,1,32,0.4531,1462,NULL,1479,1557
104,Team Universal,USA,PA,1998,f,NULL,f,NULL,NULL,34,37,4,75,0.48,34,38,4,76,0.4737,1540,NULL,1528,1566
1040,Pythons,USA,GA,2003,f,NULL,f,NULL,NULL,18,25,0,43,0.4186,18,25,0,43,0.4186,1510,NULL,1473,1510
1041,Impending Disaster,USA,GA,2003,f,NULL,f,NULL,NULL,3,6,0,9,0.3333,3,6,0,9,0.3333,1339,NULL,1339,1339
1042,Team 1042,USA,IL,2003,f,NULL,f,NULL,NULL,3,5,0,8,0.375,3,5,0,8,0.375,1446,NULL,1446,1446
1043,Batteries Not Included,USA,CA,2003,f,NULL,f,NULL,NULL,5,11,2,18,0.3333,5,11,2,18,0.3333,1413,NULL,1469,1524
1045,MSJ Robotics,USA,CA,2003,f,NULL,f,NULL,NULL,5,10,2,17,0.3529,5,10,2,17,0.3529,1440,NULL,1447,1453
1046,Aztechs,USA,CA,2003,f,NULL,f,NULL,NULL,11,15,0,26,0.4231,11,15,0,26,0.4231,1360,NULL,1461,1562
1047,Team Echoes,USA,CA,2003,f,NULL,f,NULL,NULL,25,40,4,69,0.3913,25,40,4,69,0.3913,1344,NULL,1450,1516
1048,Mustang Robotics,USA,NJ,2003,f,NULL,f,NULL,NULL,18,35,4,57,0.3509,20,39,4,63,0.3492,1359,NULL,1392,1533
1049,Archangel Robotics,Canada,ON,2003,f,NULL,f,NULL,NULL,10,14,0,24,0.4167,10,14,0,24,0.4167,1459,NULL,1432,1459
