year,score_mean,score_sd,foul_mean,no_foul_mean,auto_mean,teleop_mean,endgame_mean,rp_1_mean,rp_2_mean,tiebreaker_mean,comp_1_mean,comp_2_mean,comp_3_mean,comp_4_mean,comp_5_mean,comp_6_mean,comp_7_mean,comp_8_mean,comp_9_mean,comp_10_mean,comp_11_mean,comp_12_mean,comp_13_mean,comp_14_mean,comp_15_mean,comp_16_mean,comp_17_mean,comp_18_mean,epa_99p,epa_90p,epa_75p,epa_25p,auto_epa_99p,auto_epa_90p,auto_epa_75p,auto_epa_25p,teleop_epa_99p,teleop_epa_90p,teleop_epa_75p,teleop_epa_25p,endgame_epa_99p,endgame_epa_90p,endgame_epa_75p,endgame_epa_25p,rp_1_epa_99p,rp_1_epa_90p,rp_1_epa_75p,rp_1_epa_25p,rp_2_epa_99p,rp_2_epa_90p,rp_2_epa_75p,rp_2_epa_25p,comp_1_epa_99p,comp_1_epa_90p,comp_1_epa_75p,comp_1_epa_25p,comp_2_epa_99p,comp_2_epa_90p,comp_2_epa_75p,comp_2_epa_25p,comp_3_epa_99p,comp_3_epa_90p,comp_3_epa_75p,comp_3_epa_25p,comp_4_epa_99p,comp_4_epa_90p,comp_4_epa_75p,comp_4_epa_25p,comp_5_epa_99p,comp_5_epa_90p,comp_5_epa_75p,comp_5_epa_25p,comp_6_epa_99p,comp_6_epa_90p,comp_6_epa_75p,comp_6_epa_25p,comp_7_epa_99p,comp_7_epa_90p,comp_7_epa_75p,comp_7_epa_25p,comp_8_epa_99p,comp_8_epa_90p,comp_8_epa_75p,comp_8_epa_25p,comp_9_epa_99p,comp_9_epa_90p,comp_9_epa_75p,comp_9_epa_25p,comp_10_epa_99p,comp_10_epa_90p,comp_10_epa_75p,comp_10_epa_25p,comp_11_epa_99p,comp_11_epa_90p,comp_11_epa_75p,comp_11_epa_25p,comp_12_epa_99p,comp_12_epa_90p,comp_12_epa_75p,comp_12_epa_25p,comp_13_epa_99p,comp_13_epa_90p,comp_13_epa_75p,comp_13_epa_25p,comp_14_epa_99p,comp_14_epa_90p,comp_14_epa_75p,comp_14_epa_25p,comp_15_epa_99p,comp_15_epa_90p,comp_15_epa_75p,comp_15_epa_25p,comp_16_epa_99p,comp_16_epa_90p,comp_16_epa_75p,comp_16_epa_25p,comp_17_epa_99p,comp_17_epa_90p,comp_17_epa_75p,comp_17_epa_25p,comp_18_epa_99p,comp_18_epa_90p,comp_18_epa_75p,comp_18_epa_25p,count,epa_conf,epa_acc,epa_mse,champs_count,epa_champs_conf,epa_champs_acc,epa_champs_mse,epa_score_rmse,epa_score_mae,epa_score_error,epa_champs_score_rmse,epa_champs_score_mae,epa_champs_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1,champs_rp_count,epa_champs_rp_1_error,epa_champs_rp_1_acc,epa_champs_rp_1_ll,epa_champs_rp_1_f1,epa_champs_rp_2_error,epa_champs_rp_2_acc,epa_champs_rp_2_ll,epa_champs_rp_2_f1
2002,28.44,11.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15.56,13.71,10.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2197,0.6236,0.5589,0.2423,152,0.6527,0.5789,0.2306,13.316,10.7381,-5.4614,14.986,12.1667,-6.5567,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003,48.4,31.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.84,34.36,27.35,12.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3173,0.6853,0.624,0.2283,572,0.7051,0.6276,0.2266,33.5678,25.481,-4.1157,31.297,24.1364,1.6049,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004,52.27,35.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.55,47.39,35.74,15.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3198,0.6792,0.6623,0.2045,589,0.6719,0.6503,0.2098,33.5342,26.634,-2.9817,39.5511,32.0631,-2.8155,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005,19.71,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.29,15.91,11.47,3.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2059,0.6739,0.6785,0.2017,468,0.675,0.6432,0.2206,17.851,13.5146,-1.9966,19.045,14.4235,-2.2221,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006,30.78,20.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,18.74,13.28,5.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3283,0.6831,0.6835,0.1955,477,0.7008,0.6792,0.2068,17.8409,13.8229,-1.5126,20.5721,15.9531,-1.9615,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2007,23.89,32.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.73,19.79,11.5,1.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3564,0.6699,0.6364,0.208,482,0.6604,0.6535,0.2098,35.7949,22.7638,-1.4991,48.1213,32.4328,-0.2383,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2008,41.11,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.39,21.98,15.45,7.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4038,0.6919,0.7001,0.1894,469,0.7142,0.7356,0.1674,19.5395,15.618,-1.7021,22.1618,17.3172,-3.6663,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2009,52.39,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.21,25.5,19.78,12.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4658,0.6776,0.6876,0.1959,482,0.6958,0.7012,0.1794,18.2666,14.4347,-0.9943,18.4709,14.6946,-2.1975,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010,2.81,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,2.41,1.49,0.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5567,0.6637,0.6894,0.1707,651,0.7278,0.7465,0.1585,2.5703,1.9809,-0.3973,3.235,2.5138,-0.7427,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011,29.59,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.08,24.05,13.12,2.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6312,0.7169,0.7457,0.1596,657,0.7607,0.761,0.157,21.5889,17.0947,-2.6232,25.0743,19.4884,-2.8274,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
