year,elo_max,elo_1p,elo_5p,elo_10p,elo_25p,elo_median,elo_mean,elo_sd,elo_acc,elo_mse,opr_max,opr_1p,opr_5p,opr_10p,opr_25p,opr_median,opr_mean,opr_sd,opr_acc,opr_mse,mix_acc,mix_mse,rp1_acc,rp1_mse,rp2_acc,rp2_mse,score_mean,score_sd,auto_mean,teleop_mean,one_mean,two_mean,endgame_mean,fouls_mean,no_fouls_mean,rp_1_mean,rp_2_mean
2002,1731,1653,1608,1587,1549,1508,1512,56.56,0.5512,0.2364,37.57,28.58,24.57,22.84,19.1,15.74,15.97,5.16,0.5312,0.2638,0.5389,0.243,NULL,NULL,NULL,NULL,28.44,11.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003,1809,1701,1645,1612,1554,1486,1495,85.99,0.6209,0.2214,82.5,67.04,54.77,48.26,37.69,27.2,27.75,15.63,0.6007,0.2414,0.6212,0.2235,NULL,NULL,NULL,NULL,48.4,31.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004,1907,1780,1665,1619,1549,1476,1497,90.44,0.6316,0.2106,106.72,87.03,69.86,57.92,43.78,25.62,29.47,21.44,0.6298,0.217,0.6398,0.2044,NULL,NULL,NULL,NULL,52.27,35.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2005,1985,1859,1718,1666,1568,1493,1510,110.82,0.6605,0.2083,36.15,29.03,22.44,19.47,14.44,9.81,10.14,7.1,0.594,0.2388,0.6566,0.2081,NULL,NULL,NULL,NULL,19.71,15.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2006,2029,1831,1693,1629,1545,1480,1500,97.17,0.6613,0.2035,62.6,44.93,29.84,24.38,17.25,10.6,11.62,10.28,0.6381,0.2225,0.6683,0.2015,NULL,NULL,NULL,NULL,30.78,20.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2007,2156,1829,1705,1637,1546,1480,1504,100.74,0.6181,0.209,66.67,42.11,30.43,22.33,14.78,8.56,10.84,9.36,0.4969,0.2542,0.6077,0.2139,NULL,NULL,NULL,NULL,23.89,32.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2008,2105,1793,1672,1607,1537,1476,1498,87.85,0.6679,0.195,86.64,48.99,34.69,28.27,18.34,10.99,12.95,11.68,0.6377,0.2164,0.6652,0.1939,NULL,NULL,NULL,NULL,41.11,24.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2009,1990,1793,1679,1630,1542,1478,1498,94.52,0.6831,0.1958,68.88,47.49,37.13,32.62,24.88,17.69,18.54,10.51,0.6496,0.2194,0.6795,0.1965,NULL,NULL,NULL,NULL,52.39,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2010,2272,1834,1697,1627,1544,1483,1505,99.86,0.6235,0.1764,9.71,4.92,3.52,2.78,1.67,0.89,1.21,1.17,0.5506,0.206,0.624,0.1778,NULL,NULL,NULL,NULL,2.81,2.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2011,2060,1847,1702,1628,1537,1475,1502,96.76,0.7107,0.168,74,55.8,37.91,28.08,15.44,7,10.57,12.93,0.6486,0.1914,0.7088,0.1697,NULL,NULL,NULL,NULL,29.59,28.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2012,2099,1829,1681,1623,1541,1481,1504,90.68,0.6848,0.1876,45.19,31.6,21.29,16.55,10.64,5.37,6.93,7.33,0.6739,0.1956,0.6952,0.1838,NULL,NULL,NULL,NULL,18.91,15.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013,2117,1828,1706,1642,1546,1481,1506,100.71,0.7264,0.1795,105.13,73.15,52.52,43.58,27.86,14.39,18.47,17.72,0.7242,0.1794,0.7368,0.1708,NULL,NULL,NULL,NULL,51.01,31.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,2085,1853,1727,1662,1566,1492,1516,106.57,0.7022,0.189,152.25,106.21,80.61,66.27,45.79,25.96,31.44,25.01,0.6912,0.1971,0.7115,0.1856,NULL,NULL,NULL,NULL,75.4,48.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,2218,1895,1723,1651,1560,1496,1521,102.61,0.7019,0.1855,157.91,90.35,64.44,50.73,31.63,18.03,22.92,20.3,0.6891,0.195,0.7112,0.1805,NULL,NULL,NULL,NULL,48.9,33.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,2007,1819,1697,1643,1565,1505,1521,91.06,0.7025,0.1864,124.38,57.29,43.83,37.76,30.24,23.33,24.36,11.78,0.6911,0.1978,0.7089,0.1835,0.7484,0.1724,0.8774,0.0981,69.54,27.5,16.21,36.85,43.21,8.57,8.28,2.98,61.34,0.59,0.03
2017,1957,1765,1692,1654,1589,1517,1528,91.57,0.649,0.2092,272.7,139.46,122.1,114.24,97.4,74.31,72.92,32.06,0.6476,0.2131,0.6599,0.2034,0.9153,0.0679,0.974,0.0204,179.24,70.49,32.35,75.81,94.22,1.82,62.68,8.09,170.85,0,0
2018,2062,1905,1774,1709,1606,1511,1537,122.66,0.7398,0.1722,333.27,212.1,174.6,156.43,124.82,86.09,91.83,48.08,0.7078,0.1907,0.7408,0.1741,0.6786,0.2167,0.9155,0.0694,264.23,106.68,21.23,185.19,22.54,171.51,41.63,16.18,248.05,0.27,0.03
2019,1986,1826,1725,1677,1599,1522,1539,100.65,0.7011,0.1827,49.82,37.78,31.41,28.02,22.24,16.06,17.03,7.99,0.6973,0.1857,0.7147,0.1774,0.9353,0.0547,0.7366,0.1814,44.75,17.13,10.97,20.99,6.55,14.44,10.58,2.28,42.54,0.02,0.22
2020,1916,1814,1714,1671,1600,1529,1544,92.69,0.6942,0.193,101.97,78.56,58.15,49.74,36.51,21.71,25.62,17.59,0.7042,0.1893,0.7055,0.1857,1,0,0.8538,0.1338,93.39,44.96,28.32,20.97,0.12,36.51,35.25,8.94,84.54,0,0.12
2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
